Age,CGPA,Attendance,10th_Percentage,12th_Percentage,Backlogs,Internship,Projects,Communication_Score,Aptitude_Score,Placement_Status,Gender_Female,Gender_Male,Department_CE,Department_CSE,Department_ECE,Department_EEE,Department_IT,Department_ME
23,7.16,87.2,73.07,81.21,2,0,1,76,80,0,0,1,0,1,0,0,0,0
24,6.26,74.31,97.98,93.74,4,0,1,50,78,0,0,1,0,0,0,0,0,1
22,6.63,65.89,59.25,65.14,2,0,1,51,48,0,1,0,0,0,1,0,0,0
24,5.39,56.99,57.9,56.6,3,1,1,60,71,0,0,1,0,0,0,0,0,1
24,7.49,53.76,85.67,90.98,3,0,1,54,95,0,0,1,0,0,0,1,0,0
21,5.74,52.24,53.73,69.13,2,0,5,51,92,0,0,1,0,0,0,1,0,0
22,9.06,58.09,74.14,82.55,0,1,1,61,46,1,0,1,0,0,0,1,0,0
22,7.1,51.51,74.2,86.87,3,1,0,78,51,0,0,1,0,0,0,0,0,1
22,8.83,86.63,65.5,66.34,1,0,0,95,62,1,0,1,0,0,0,0,0,1
24,9.77,62.43,96.52,75.26,0,0,0,74,56,1,0,1,0,0,0,0,0,1
23,9.25,68.44,64.13,94.75,2,0,5,81,91,1,1,0,0,1,0,0,0,0
22,9.76,91.14,64.42,93.99,0,0,4,55,60,1,1,0,0,0,0,0,0,1
24,7.84,55.73,61.71,87.47,1,1,2,72,51,1,1,0,0,0,0,1,0,0
21,5.83,91.78,57.29,88.14,3,1,4,92,61,0,0,1,0,0,0,0,1,0
23,9.68,81.98,68.2,94.88,3,0,1,82,62,1,0,1,0,0,0,0,0,1
21,9.34,67.1,84.04,86.82,3,1,2,88,44,1,0,1,0,0,0,0,1,0
23,9.32,55.89,87.11,66.98,1,1,0,53,57,1,0,1,0,0,0,1,0,0
24,8.47,54.57,90.67,56.04,0,0,0,57,76,0,0,1,0,0,0,0,0,1
20,8.12,66.78,59.88,71.09,2,1,3,83,76,1,1,0,0,1,0,0,0,0
23,5.07,57.02,51.78,54.37,2,1,1,55,46,0,0,1,0,1,0,0,0,0
21,8.74,63.39,98.73,55.79,0,0,1,79,100,1,0,1,0,0,0,0,1,0
24,5.46,52.65,50.72,97.51,3,1,3,42,42,0,0,1,1,0,0,0,0,0
23,6.3,79.75,98.03,83.79,2,1,4,82,40,1,1,0,0,1,0,0,0,0
20,7.76,57.26,91.44,92.58,3,1,3,65,99,1,0,1,0,1,0,0,0,0
20,7.26,87.84,95.6,82.14,4,0,5,54,45,0,1,0,0,1,0,0,0,0
22,5.08,60.91,69.36,70.93,4,1,1,75,99,0,0,1,0,0,0,1,0,0
22,9.12,89.9,59.86,51.26,2,1,5,66,46,1,1,0,0,1,0,0,0,0
21,9.39,59.49,80.32,97.79,0,0,5,87,66,1,1,0,0,0,1,0,0,0
23,8.41,86.07,87.06,53.55,0,1,5,93,97,1,0,1,0,0,0,0,0,1
23,7.71,66.65,56.54,80.51,0,1,0,95,70,1,0,1,0,1,0,0,0,0
22,9.8,79.16,89.88,55.11,3,0,3,56,47,1,0,1,1,0,0,0,0,0
23,5.6,51.93,60.43,64.21,4,1,2,53,53,0,0,1,1,0,0,0,0,0
23,8.69,74.76,74.58,59.29,3,1,0,41,94,0,1,0,0,1,0,0,0,0
20,5.64,57.43,92.82,77.69,1,0,4,66,54,0,1,0,0,1,0,0,0,0
22,6.91,74.32,59.67,94.35,1,0,0,93,46,0,1,0,0,0,1,0,0,0
24,7.93,57.07,62.09,81.78,2,0,4,86,46,0,1,0,0,1,0,0,0,0
22,8.69,71.85,53.14,83.21,1,0,0,63,72,0,0,1,0,1,0,0,0,0
24,5.02,55.53,57.33,95.45,0,0,1,99,80,0,0,1,0,0,0,0,0,1
20,6.3,61.0,57.33,87.47,2,0,5,79,96,0,1,0,1,0,0,0,0,0
21,7.69,79.75,60.17,93.3,4,1,4,84,46,1,0,1,0,0,1,0,0,0
23,7.66,98.83,64.31,70.82,4,1,4,74,96,1,1,0,1,0,0,0,0,0
20,8.19,72.46,90.75,93.27,1,0,3,43,98,1,0,1,0,0,1,0,0,0
23,6.52,84.36,95.79,82.29,1,1,0,65,59,0,0,1,1,0,0,0,0,0
21,7.7,76.97,70.31,56.78,4,0,4,75,46,0,1,0,0,1,0,0,0,0
21,5.95,74.92,56.41,51.94,1,1,4,43,89,0,0,1,1,0,0,0,0,0
20,5.93,53.24,61.19,62.2,1,1,0,73,53,0,1,0,1,0,0,0,0,0
21,7.88,57.21,86.81,68.92,3,0,0,52,93,0,1,0,0,0,1,0,0,0
24,8.43,94.15,83.87,91.88,4,1,2,93,54,1,1,0,0,0,0,0,1,0
21,5.6,70.51,98.36,87.06,4,0,3,79,57,0,1,0,0,0,1,0,0,0
23,5.61,80.72,50.72,97.77,1,1,4,80,49,0,1,0,0,0,1,0,0,0
23,7.83,76.41,87.54,77.96,0,1,0,100,74,1,1,0,0,0,1,0,0,0
23,6.35,68.94,75.29,87.39,3,1,4,40,66,0,0,1,0,0,0,1,0,0
23,6.96,69.39,95.13,63.76,0,1,2,40,100,1,0,1,0,0,0,1,0,0
