Student_ID,Age,Gender,Department,CGPA,Attendance,10th_Percentage,12th_Percentage,Backlogs,Internship,Projects,Communication_Score,Aptitude_Score,Placement_Status,Package_LPA
1001,23,Male,CSE,7.16,87.2,73.07,81.21,2,No,1,76,80,Not Placed,0.0
1002,24,Male,ME,6.26,74.31,97.98,93.74,4,No,1,50,78,Not Placed,0.0
1003,22,Female,ECE,6.63,65.89,59.25,65.14,2,No,1,51,48,Not Placed,0.0
1004,24,Male,ME,5.39,56.99,57.9,56.6,3,Yes,1,60,71,Not Placed,0.0
1005,24,Male,EEE,7.49,53.76,85.67,90.98,3,No,1,54,95,Not Placed,0.0
1006,21,Male,EEE,5.74,52.24,53.73,69.13,2,No,5,51,92,Not Placed,0.0
1007,22,Male,EEE,9.06,58.09,74.14,82.55,0,Yes,1,61,46,Placed,9.19
1008,22,Male,ME,7.1,51.51,74.2,86.87,3,Yes,0,78,51,Not Placed,0.0
1009,22,Male,ME,8.83,86.63,65.5,66.34,1,No,0,95,62,Placed,3.47
1010,24,Male,ME,9.77,62.43,96.52,75.26,0,No,0,74,56,Placed,9.71
1011,23,Female,CSE,9.25,68.44,64.13,94.75,2,No,5,81,91,Placed,7.42
1012,22,Female,ME,9.76,91.14,64.42,93.99,0,No,4,55,60,Placed,14.09
1013,24,Female,EEE,7.84,55.73,61.71,87.47,1,Yes,2,72,51,Placed,13.63
1014,21,Male,IT,5.83,91.78,57.29,88.14,3,Yes,4,92,61,Not Placed,0.0
1015,23,Male,ME,9.68,81.98,68.2,94.88,3,No,1,82,62,Placed,12.21
1016,21,Male,IT,9.34,67.1,84.04,86.82,3,Yes,2,88,44,Placed,10.74
1017,23,Male,EEE,9.32,55.89,87.11,66.98,1,Yes,0,53,57,Placed,3.2
1018,24,Male,ME,8.47,54.57,90.67,56.04,0,No,0,57,76,Not Placed,0.0
1019,20,Female,CSE,8.12,66.78,59.88,71.09,2,Yes,3,83,76,Placed,5.13
1020,23,Male,CSE,5.07,57.02,51.78,54.37,2,Yes,1,55,46,Not Placed,0.0
1021,21,Male,IT,8.74,63.39,98.73,55.79,0,No,1,79,100,Placed,3.13
1022,24,Male,CE,5.46,52.65,50.72,97.51,3,Yes,3,42,42,Not Placed,0.0
1023,23,Female,CSE,6.3,79.75,98.03,83.79,2,Yes,4,82,40,Placed,9.2
1024,20,Male,CSE,7.76,57.26,91.44,92.58,3,Yes,3,65,99,Placed,7.0
1025,20,Female,CSE,7.26,87.84,95.6,82.14,4,No,5,54,45,Not Placed,0.0
1026,22,Male,EEE,5.08,60.91,69.36,70.93,4,Yes,1,75,99,Not Placed,0.0
1027,22,Female,CSE,9.12,89.9,59.86,51.26,2,Yes,5,66,46,Placed,14.52
1028,21,Female,ECE,9.39,59.49,80.32,97.79,0,No,5,87,66,Placed,7.29
1029,23,Male,ME,8.41,86.07,87.06,53.55,0,Yes,5,93,97,Placed,11.66
1030,23,Male,CSE,7.71,66.65,56.54,80.51,0,Yes,0,95,70,Placed,13.03
1031,22,Male,CE,9.8,79.16,89.88,55.11,3,No,3,56,47,Placed,6.04
1032,23,Male,CE,5.6,51.93,60.43,64.21,4,Yes,2,53,53,Not Placed,0.0
1033,23,Female,CSE,8.69,74.76,74.58,59.29,3,Yes,0,41,94,Not Placed,0.0
1034,20,Female,CSE,5.64,57.43,92.82,77.69,1,No,4,66,54,Not Placed,0.0
1035,22,Female,ECE,6.91,74.32,59.67,94.35,1,No,0,93,46,Not Placed,0.0
1036,24,Female,CSE,7.93,57.07,62.09,81.78,2,No,4,86,46,Not Placed,0.0
1037,22,Male,CSE,8.69,71.85,53.14,83.21,1,No,0,63,72,Not Placed,0.0
1038,24,Male,ME,5.02,55.53,57.33,95.45,0,No,1,99,80,Not Placed,0.0
1039,20,Female,CE,6.3,61.0,57.33,87.47,2,No,5,79,96,Not Placed,0.0
1040,21,Male,ECE,7.69,79.75,60.17,93.3,4,Yes,4,84,46,Placed,7.16
1041,23,Female,CE,7.66,98.83,64.31,70.82,4,Yes,4,74,96,Placed,11.3
1042,20,Male,ECE,8.19,72.46,90.75,93.27,1,No,3,43,98,Placed,4.29
1043,23,Male,CE,6.52,84.36,95.79,82.29,1,Yes,0,65,59,Not Placed,0.0
1044,21,Female,CSE,7.7,76.97,70.31,56.78,4,No,4,75,46,Not Placed,0.0
1045,21,Male,CE,5.95,74.92,56.41,51.94,1,Yes,4,43,89,Not Placed,0.0
1046,20,Female,CE,5.93,53.24,61.19,62.2,1,Yes,0,73,53,Not Placed,0.0
1047,21,Female,ECE,7.88,57.21,86.81,68.92,3,No,0,52,93,Not Placed,0.0
1048,24,Female,IT,8.43,94.15,83.87,91.88,4,Yes,2,93,54,Placed,13.83
1049,21,Female,ECE,5.6,70.51,98.36,87.06,4,No,3,79,57,Not Placed,0.0
